Das hat keinen Anfang und kein Ende !	Das hat keinen Anfang und kein Ende !
Anita kennt jede Zeile , jedes Wort .	Anita kennt jede Zeile , Anita_f kennt_f jedes Wort .
Motor und Getriebe werden noch untersucht .	Motor und Getriebe werden noch untersucht .
Vorder- und Hinterrad sind unterschiedlich belastet .	Vorder- und Hinterrad sind unterschiedlich belastet .
Dasselbe gilt für Cameo-Auftritte und Insiderscherze .	Dasselbe gilt für Cameo-Auftritte und Insiderscherze .
" Sanktionen und Gewalt bewirken gar nichts "	" Sanktionen und Gewalt bewirken gar nichts "
Seine Schwerpunkte sind Portrait- und Industriefotografie .	Seine Schwerpunkte sind Portrait- und Industriefotografie .
Statistisch belegen kann man das nicht .	Statistisch belegen kann man das nicht .
Wir unterscheiden gewöhnlich zwischen mpiasa und mpamampy .	Wir unterscheiden gewöhnlich zwischen mpiasa und mpamampy .
Sie verloren Arbeit , Wohnung und Familie .	Sie verloren Arbeit , Wohnung und Familie .
Netzer war großartig , doch eben nur sporadisch .	Netzer war großartig , doch Netzer_f war_f eben nur sporadisch .
Hoch im Kurs stehen Kolanuß und - Alkohol .	Hoch im Kurs stehen Kolanuß und - Alkohol .
Kurz blickt Ursula auf und erzählt :	Kurz blickt Ursula auf und Ursula_s erzählt :
Am Anfang und Ende steht das " Ahhh ! "	Am Anfang und Ende steht das " Ahhh ! "
Wettbewerb und soziale Gerechtigkeit bedingen einander .	Wettbewerb und soziale Gerechtigkeit bedingen einander .
Die Leute suchen etwas Freundlicheres , Natürlicheres .	Die Leute suchen etwas Freundlicheres , Natürlicheres .
Es ist etwas zwischen Leben und Tod .	Es ist etwas zwischen Leben und Tod .
Was wird nun aus Manni und seinen Kollegen ?	Was wird nun aus Manni und seinen Kollegen ?
Für Y , Ö und Q gibt es viele Punkte .	Für Y , Ö und Q gibt es viele Punkte .
Sein " Ahhh ! " beendet dann Traum und Film .	Sein " Ahhh ! " beendet dann Traum und Film .
Das bedeutet aber nicht Dachbegrünung und dergleichen ?	Das bedeutet aber nicht Dachbegrünung und dergleichen ?
