Anita kennt jede Zeile , jedes Wort .	Anita kennt jede Zeile , Anita kennt jedes Wort .
Netzer war großartig , doch eben nur sporadisch .	Netzer war großartig , doch Netzer war eben nur sporadisch .
Kurz blickt Ursula auf und erzählt :	Kurz blickt Ursula auf und Ursula erzählt :
Die Unternehmensleitung verstand und reagierte umgehend .	Die Unternehmensleitung verstand umgehend und die Unternehmensleitung reagierte umgehend .
Die Männer waren verletzt , die Frauen nicht .	Die Männer waren verletzt , die Frauen waren nicht verletzt .
Noch einmal in die Kiste steigen und die Sonne grüßen .	Noch einmal in die Kiste steigen und noch  die Sonne grüßen .
So läßt er seine Akteure auch singen und tanzen .	So läßt er seine Akteure auch singen und so  läßt  er seine  Akteure  auch  tanzen .
Die zeitliche Abfolge war nicht geplant , doch passend .	Die zeitliche Abfolge war nicht geplant , doch die  zeitliche  Abfolge  war  passend .
Die Männer waren an der Front , die Frauen nicht .	Die Männer waren an der Front , die Frauen waren nicht an der Front .
Senegal hat 250 Soldaten geschickt , Guinea 400 .	Senegal hat 250 Soldaten geschickt , Guinea hat 400 Soldaten geschickt .
Das ist zwar nicht witzig , aber wenigstens endlich mal richtig .	Das ist zwar nicht witzig , aber das  ist  wenigstens endlich mal richtig .
Alles muß man übertreiben und tausendmal sagen .	Alles muß man übertreiben und alles  muß  man  tausendmal sagen .
Inzwischen sind die Gremlins ausgewachsen und gar nicht mehr lieb .	Inzwischen sind die Gremlins ausgewachsen und inzwischen  sind  die  Gremlins  gar nicht mehr lieb .
Sie bückte sich und hob sie auf .	Sie bückte sich und sie  hob sie auf .
Ich kann Villen bauen - oder Häuser für Obdachlose .	Ich kann Villen bauen - oder ich  kann  Häuser für Obdachlose bauen .
Ich bin noch sehr jung , mein Teint strahlend frisch .	Ich bin noch sehr jung , mein Teint bin strahlend frisch .
Wahllos wurden Namen vorgelesen und die Häftlinge hingerichtet .	Wahllos wurden Namen vorgelesen und wahllos  wurden  die Häftlinge hingerichtet .
Ich liebte die Wissenschaft und haßte sie zugleich .	Ich liebte die Wissenschaft und ich  haßte sie zugleich .
Dann nickt der Kellner und geht beschwingt seiner Wege .	Dann nickt der Kellner und der Kellner geht beschwingt seiner Wege .
